src_onto,tgt_onto,alignment_method,aligner,encoder,entity1,entity1_short,entity2,entity2_short,relation,measure
tp-ont,SOMA,Qwen,Qwen3-8B,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Object,Object,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Object,Object,=,1.000000596046447
tp-ont,DOLCEbasic,Qwen,Qwen3-8B,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#State,State,https://w3id.org/DOLCE/OWL/DOLCEbasic#State,State,=,1.000000476837158
tp-ont,schemaorg,Qwen,Qwen3-8B,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Vehicle,Vehicle,https://schema.org/Vehicle,https://schema.org/Vehicle,=,1.000000476837158
tp-ont,schemaorg,Qwen,Qwen3-8B,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#State,State,https://schema.org/State,https://schema.org/State,=,1.000000357627868
tp-ont,SOMA,Qwen,Qwen3-8B,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Action,Action,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Action,Action,=,1.000000357627868
tp-ont,SOMA,Qwen,Qwen3-8B,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#State,State,http://www.ease-crc.org/ont/SOMA.owl#State,State,=,1.000000357627868
tp-ont,knowrob,Qwen,Qwen3-8B,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Action,Action,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Action,Action,=,1.000000357627868
tp-ont,knowrob,Qwen,Qwen3-8B,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Object,Object,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Object,Object,=,1.000000357627868
tp-ont,schemaorg,Qwen,Qwen3-8B,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Action,Action,https://schema.org/Action,https://schema.org/Action,=,1.00000023841857
tp-ont,schemaorg,Qwen,Qwen3-8B,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Place,Place,https://schema.org/Place,https://schema.org/Place,=,1.00000023841857
tp-ont,schemaorg,Qwen,Qwen3-8B,all-MiniLM-L6-v2,https://w3id.org/tp-ont/ontology#Duration,Duration,https://schema.org/Duration,https://schema.org/Duration,=,1.00000023841857
